"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Gas6",0,0.887438442472705,0.398,0.047,0,"M2-like 1","Gas6","up",Inf,"Gas6","14456"
"Hexa",0,0.822858739637906,0.937,0.812,0,"M2-like 1","Hexa","up",Inf,"Hexa","15211"
"Pdgfc",0,0.804261047584112,0.403,0.056,0,"M2-like 1","Pdgfc","up",Inf,"Pdgfc","54635"
"Lamp1",0,0.713809318994782,0.982,0.949,0,"M2-like 1","Lamp1","up",Inf,"Lamp1","16783"
"Tns1",0,0.681671817280135,0.471,0.075,0,"M2-like 1","Tns1","up",Inf,"Tns1","21961"
"St6gal1",0,0.665887748965704,0.552,0.136,0,"M2-like 1","St6gal1","up",Inf,"St6gal1","20440"
"Ms4a6c",0,-0.985892755324637,0.927,0.956,0,"M2-like 1","Ms4a6c","down",Inf,"Ms4a6c","73656"
"Lst1",0,-1.28327748494094,0.888,0.941,0,"M2-like 1","Lst1","down",Inf,"Lst1","16988"
"Cd52",0,-1.41858073019923,0.823,0.935,0,"M2-like 1","Cd52","down",Inf,"Cd52","23833"
"Ms4a4c",0,-1.44767001112719,0.742,0.915,0,"M2-like 1","Ms4a4c","down",Inf,"Ms4a4c","64380"
"Ly6c1",0,-1.59199245242728,0.34,0.708,0,"M2-like 1","Ly6c1","down",Inf,"Ly6c1","17067"
"Ly6c2",0,-2.03222195899783,0.527,0.833,0,"M2-like 1","Ly6c2","down",Inf,"Ly6c2","100041546"
"Fcgrt",1.82991778906142e-307,1.00003884830054,0.697,0.339,5.9078895819848e-303,"M2-like 1","Fcgrt","up",695.934029306347,"Fcgrt","14132"
"Pf4",5.09265198115568e-305,1.59766804422235,0.78,0.427,1.64416269211611e-300,"M2-like 1","Pf4","up",1102.83557617049,"Pf4","56744"
"Isg15",1.05397880064395e-292,-1.72586550356113,0.686,0.859,3.40277055787901e-288,"M2-like 1","Isg15","down",1142.38475054679,"Isg15","100038882"
"Dhrs3",2.97050211755296e-292,0.728340177840427,0.892,0.642,9.59026608651973e-288,"M2-like 1","Dhrs3","up",481.348193941019,"Dhrs3","20148"
"C3",2.6733579865668e-291,-1.13891165396474,0.625,0.839,8.63093625963092e-287,"M2-like 1","C3","down",750.185809403766,"C3","12266"
"Ap1b1",1.006624199334e-280,0.674887070210902,0.732,0.378,3.24988622754983e-276,"M2-like 1","Ap1b1","up",428.104399029738,"Ap1b1","11764"
"Cacna1a",3.00696677243568e-279,0.99305797264021,0.568,0.197,9.70799222480858e-275,"M2-like 1","Cacna1a","up",626.557962567633,"Cacna1a","12286"
"Psd3",2.82422621732008e-277,1.10351039188439,0.56,0.192,9.11801434261789e-273,"M2-like 1","Psd3","up",691.233919769398,"Psd3","234353"
"Bcar3",2.89158491194419e-277,0.661931339641351,0.534,0.159,9.3354818882118e-273,"M2-like 1","Bcar3","up",414.615196169564,"Bcar3","29815"
"COX1",7.56045009916865e-277,0.776998183510924,0.993,0.965,2.4408913145166e-272,"M2-like 1","COX1","up",485.943041584636,"COX1","17708"
